"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RPAY","Repay Holdings Corporation","23.38","$1.37B","2018","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rpay",
"RGEN","Repligen Corporation","145.89","$7.66B","1986","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/rgen",
"REPL","Replimune Group, Inc.","26.13","$1.05B","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/repl",
"KRMD","Repro Med Systems, Inc.","7.5","$329.32M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/krmd",
"RBCAA","Republic Bancorp, Inc.","32.37","$676.79M","1998","Finance","Major Banks","https://old.nasdaq.com/symbol/rbcaa",
"FRBK","Republic First Bancorp, Inc.","2.08","$122.42M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/frbk",
"REFR","Research Frontiers Incorporated","2.69","$84.94M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/refr",
"RSSS","Research Solutions, Inc","2.57","$67.35M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rsss",
"RESN","Resonant Inc.","2.37","$126.32M","2014","Technology","Semiconductors","https://old.nasdaq.com/symbol/resn",
"RGP","Resources Connection, Inc.","11.38","$365.8M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rgp",
"TORC","resTORbio, Inc.","2.11","$76.92M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/torc",
"ROIC","Retail Opportunity Investments Corp.","10.875","$1.28B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/roic",
"RETO","ReTo Eco-Solutions, Inc.","0.5019","$11.42M","2017","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/reto",
"RTRX","Retrophin, Inc.","18.46","$939.72M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rtrx",
"RVNC","Revance Therapeutics, Inc.","27.78","$1.83B","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rvnc",
"RVMD","Revolution Medicines, Inc.","27.93","$1.84B","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/rvmd",
"RWLK","ReWalk Robotics Ltd.","1.08","$20.69M","2014","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/rwlk",
"REXN","Rexahn Pharmaceuticals, Inc.","1.86","$8.23M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rexn",
"REYN","Reynolds Consumer Products Inc.","32.38","$6.79B","2020","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/reyn",
"RFIL","RF Industries, Ltd.","4.08","$39.81M","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/rfil",
"RGCO","RGC Resources Inc.","23.79","$193.89M","n/a","Public Utilities","Oil & Gas Production","https://old.nasdaq.com/symbol/rgco",
"RBKB","Rhinebeck Bancorp, Inc.","6.4","$71.25M","2019","Finance","Banks","https://old.nasdaq.com/symbol/rbkb",
"RYTM","Rhythm Pharmaceuticals, Inc.","30.37","$1.34B","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rytm",
"RBBN","Ribbon Communications Inc. ","4.01","$582.04M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/rbbn",
"RIBT","RiceBran Technologies","0.436","$17.53M","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/ribt",
"RELL","Richardson Electronics, Ltd.","4.19","$55.34M","1983","Technology","Electronic Components","https://old.nasdaq.com/symbol/rell",
